t,commutator_norm
2.810000000000000142e+01,2.104067850157565617e-02
2.820000000000000284e+01,2.119808806187035641e-02
2.830000000000000071e+01,2.114369333340709867e-02
2.840000000000000213e+01,2.087803781033226169e-02
2.850000000000000000e+01,2.040377583481831070e-02
2.860000000000000142e+01,1.972564607575447854e-02
2.870000000000000284e+01,1.885042418153327209e-02
2.880000000000000071e+01,1.778685508001204632e-02
2.890000000000000213e+01,1.654556560208400237e-02
2.900000000000000000e+01,1.513895830189664407e-02
2.910000000000000142e+01,1.358108753463111926e-02
2.920000000000000284e+01,1.188751903003011472e-02
2.930000000000000071e+01,1.007517436477248750e-02
2.940000000000000213e+01,8.162161887671886759e-03
2.950000000000000000e+01,6.167595787041763034e-03
2.960000000000000142e+01,4.111405108043466802e-03
2.970000000000000284e+01,2.014134628255457964e-03
2.980000000000000071e+01,1.032604189535783290e-04
2.990000000000000213e+01,2.219623722189866498e-03
3.000000000000000000e+01,4.313809278903965941e-03
3.010000000000000142e+01,6.364892679259262151e-03
3.020000000000000284e+01,8.352380175916995775e-03
3.030000000000000071e+01,1.025641345078679920e-02
3.040000000000000213e+01,1.205796803277595607e-02
3.050000000000000000e+01,1.373904338401588099e-02
3.060000000000000142e+01,1.528284275528656033e-02
3.070000000000000284e+01,1.667394101358270556e-02
3.080000000000000071e+01,1.789843876494318087e-02
3.090000000000000213e+01,1.894410123260151929e-02
3.100000000000000000e+01,1.980048050283111927e-02
3.110000000000000142e+01,2.045901991704507025e-02
3.120000000000000284e+01,2.091313956710075944e-02
3.130000000000000071e+01,2.115830203956673913e-02
3.140000000000000213e+01,2.119205775205827008e-02
3.150000000000000000e+01,2.101406942865400446e-02
3.160000000000000142e+01,2.062611546984648853e-02
3.170000000000000284e+01,2.003207218335167558e-02
3.180000000000000071e+01,1.923787505332336459e-02
3.190000000000000213e+01,1.825145943495783823e-02
3.200000000000000000e+01,1.708268126704953066e-02
3.210000000000000142e+01,1.574321859470410173e-02
3.220000000000000284e+01,1.424645488617643646e-02
3.230000000000000426e+01,1.260734530967805994e-02
