t,q,p,E
2.650000000000000000e+01,7.526120309139805453e-02,-2.587162420227316906e-01,3.629917128856467029e-02
2.660000000000000142e+01,4.918664730942964858e-02,-2.623341940595869115e-01,3.561927782321760994e-02
2.670000000000000284e+01,2.288253008519161580e-02,-2.633080525238754577e-01,3.492737035350782643e-02
2.680000000000000071e+01,-3.387352106346068828e-03,-2.616544446045076522e-01,3.423726126779286921e-02
2.690000000000000213e+01,-2.936216796390286182e-02,-2.574159539958021936e-01,3.356255513955469505e-02
2.700000000000000000e+01,-5.478661501760140329e-02,-2.506604392627732603e-01,3.291611449824665553e-02
2.710000000000000142e+01,-7.941340279627276399e-02,-2.414801077123703565e-01,3.230956548223052477e-02
2.720000000000000284e+01,-1.030056316411499528e-01,-2.299903564045124027e-01,3.175286209443345387e-02
2.730000000000000071e+01,-1.253390445417928711e-01,-2.163283941478823802e-01,3.125392510062554446e-02
2.740000000000000213e+01,-1.462041308784189919e-01,-2.006516603536815657e-01,3.081836834430153049e-02
2.750000000000000000e+01,-1.654080626229675888e-01,-1.831360584901933763e-01,3.044932155000354759e-02
2.760000000000000142e+01,-1.827764454003314165e-01,-1.639740235717948025e-01,3.014735469975192428e-02
2.770000000000000284e+01,-1.981548689005713237e-01,-1.433724444802971232e-01,2.991050495262924380e-02
2.780000000000000071e+01,-2.114102431557195738e-01,-1.215504632799846024e-01,2.973440301736968161e-02
2.790000000000000213e+01,-2.224319095513039857e-01,-9.873717463918402215e-02,2.961249202118410029e-02
2.800000000000000000e+01,-2.311325177982160861e-01,-7.516924914733530416e-02,2.953632840055842382e-02
2.810000000000000142e+01,-2.374486624326276052e-01,-5.108850498687642072e-02,2.949595131641901541e-02
2.820000000000000284e+01,-2.413412749294895909e-01,-2.673945259108650302e-02,2.948030465473122294e-02
2.830000000000000071e+01,-2.427957699608402076e-01,-2.366836957770915295e-03,2.947769391403095435e-02
