t,lie,linear,node
2.040000000000000213e+01,7.835492936543429071e-03,3.629969517383675737e-02,2.019278478343171090e-01
2.050000000000000000e+01,8.186471283699134349e-03,3.618423919531199573e-02,2.025725670016165492e-01
2.060000000000000142e+01,8.591394425284925793e-03,3.606144251482065050e-02,2.034699623545969949e-01
2.070000000000000284e+01,9.016455444865829547e-03,3.594887715212875812e-02,2.045991416626160575e-01
2.080000000000000071e+01,9.433876817370833237e-03,3.586360358498548451e-02,2.059140591154717259e-01
2.090000000000000213e+01,9.821919201527445908e-03,3.581978358045563582e-02,2.073471029832972545e-01
2.100000000000000000e+01,1.016420461103595060e-02,3.582658647738753976e-02,2.088155754874481407e-01
2.110000000000000142e+01,1.044891132358592017e-02,3.588673614441709875e-02,2.102298367839462445e-01
2.120000000000000284e+01,1.066807791299994104e-02,3.599596036231222929e-02,2.115019145707572601e-01
2.130000000000000071e+01,1.081708364014325949e-02,3.614344543967112217e-02,2.125536978935549659e-01
2.140000000000000213e+01,1.089429965152967361e-02,3.631321051820394358e-02,2.133242098323905600e-01
2.150000000000000000e+01,1.090087995103224301e-02,3.648615557497451867e-02,2.137756979554513159e-01
2.160000000000000142e+01,1.084065416786865292e-02,3.664244888230413361e-02,2.138983121110049623e-01
2.170000000000000284e+01,1.072008178896405317e-02,3.676391307978599254e-02,2.137129946404701386e-01
2.180000000000000071e+01,1.054822333092351495e-02,3.683612337788459701e-02,2.132720083572357539e-01
2.190000000000000213e+01,1.033667480719311325e-02,3.685001226457176177e-02,2.126564240213735246e-01
2.200000000000000000e+01,1.009939675407984724e-02,3.680285375770499939e-02,2.119700162384943187e-01
2.210000000000000142e+01,9.852350232340338979e-03,3.669856266590407201e-02,2.113294528711820996e-01
2.220000000000000284e+01,9.612838447354454113e-03,3.654729115870592598e-02,2.108513910290598092e-01
2.230000000000000071e+01,9.398463250709733485e-03,3.636434605126423469e-02,2.106379671457710989e-01
2.240000000000000213e+01,9.225669356875326743e-03,3.616849863880882560e-02,2.107629145393449255e-01
2.250000000000000000e+01,9.107986795667284002e-03,3.597982386028372032e-02,2.112608272935615761e-01
2.260000000000000142e+01,9.054271704429371626e-03,3.581728572083338336e-02,2.121216818628773870e-01
2.270000000000000284e+01,9.067392727277285777e-03,3.569636599014715250e-02,2.132916613164206887e-01
2.280000000000000071e+01,9.143784563307725405e-03,3.562708126622734367e-02,2.146799490305399960e-01
2.290000000000000213e+01,9.274042223456123099e-03,3.561271716530300946e-02,2.161699692298825470e-01
2.300000000000000000e+01,9.444377543865197996e-03,3.564950796567366298e-02,2.176329389608177289e-01
2.310000000000000142e+01,9.638512219530217043e-03,3.572732168862554486e-02,2.189416427293322809e-01
2.320000000000000284e+01,9.839557082959285786e-03,3.583122136351951648e-02,2.199828454450202808e-01
2.330000000000000071e+01,1.003157508483201558e-02,3.594362219432942207e-02,2.206674020920869339e-01
2.340000000000000213e+01,1.020071395954972975e-02,3.604669097132760791e-02,2.209376451060307001e-01
2.350000000000000000e+01,1.033592899109553667e-02,3.612464315600646264e-02,2.207719191832282768e-01
2.360000000000000142e+01,1.042937508676730803e-02,3.616565900359621638e-02,2.201862112499760604e-01
2.370000000000000284e+01,1.047655238785067874e-02,3.616322806339437868e-02,2.192327931753277614e-01
2.380000000000000071e+01,1.047626995806324665e-02,3.611681482193834780e-02,2.179957815699316293e-01
2.390000000000000213e+01,1.043046717432600384e-02,3.603180564608699649e-02,2.165836293841182369e-01
2.400000000000000000e+01,1.034391119211537299e-02,3.591875291718074625e-02,2.151188560680363238e-01
2.410000000000000142e+01,1.022377416297248244e-02,3.579198551778210030e-02,2.137257871195611114e-01
2.420000000000000284e+01,1.007908663739891242e-02,3.566771662446786145e-02,2.125176120224795684e-01
2.430000000000000071e+01,9.920065003084087285e-03,3.556185109731544586e-02,2.115845035382133144e-01
2.440000000000000213e+01,9.757322879047933967e-03,3.548776512081339846e-02,2.109846573651958102e-01
2.450000000000000000e+01,9.601000481842796724e-03,3.545437609825110442e-02,2.107397584054716833e-01
2.460000000000000142e+01,9.459879884396085042e-03,3.546481275515431242e-02,2.108355745955836358e-01
2.470000000000000284e+01,9.340588695180901055e-03,3.551591649296947928e-02,2.112273417423464750e-01
2.480000000000000071e+01,9.247013708372654045e-03,3.559866370251193318e-02,2.118486724265713772e-01
2.490000000000000213e+01,9.180032188040695290e-03,3.569943113121957362e-02,2.126221896745521811e-01
2.500000000000000000e+01,9.137615226454124523e-03,3.580188222619663102e-02,2.134700546102601404e-01
2.510000000000000142e+01,9.115278491590338844e-03,3.588916889829946166e-02,2.143229245562562335e-01
2.520000000000000284e+01,9.106780393725217443e-03,3.594613159878935066e-02,2.151264287196326119e-01
2.530000000000000071e+01,9.104925163523926862e-03,3.596122379966831123e-02,2.158447811256677396e-01
2.540000000000000213e+01,9.102329892203350412e-03,3.592795732970904821e-02,2.164615519249765418e-01
2.550000000000000000e+01,9.092050474782925606e-03,3.584573698606752928e-02,2.169778762997312538e-01
2.560000000000000142e+01,9.068011144199653040e-03,3.572001390718142211e-02,2.174085447978968411e-01
2.570000000000000284e+01,9.025227906107755049e-03,3.556173839740359166e-02,2.177765524855041213e-01
2.580000000000000071e+01,8.959848691418628372e-03,3.538614266108285750e-02,2.181068232188937139e-01
2.590000000000000213e+01,8.869051780270777868e-03,3.521094392030819226e-02,2.184199585542815625e-01
2.600000000000000000e+01,8.750852372434239634e-03,3.505413399246468803e-02,2.187269359684020087e-01
2.610000000000000142e+01,8.603869008050131842e-03,3.493160670006567603e-02,2.190256291423625934e-01
2.620000000000000284e+01,8.427099445137208739e-03,3.485494651730377397e-02,2.192997985903891167e-01
2.630000000000000071e+01,8.219750959902408921e-03,3.482972778453496954e-02,2.195208130267354008e-01
2.640000000000000213e+01,7.981163474250948728e-03,3.485462390236704344e-02,2.196518844522822034e-01
2.650000000000000000e+01,7.710856252583522114e-03,3.492149525531629967e-02,2.196541466709324986e-01
2.660000000000000142e+01,7.408721711303254201e-03,3.501644321358311079e-02,2.194935872310003200e-01
2.670000000000000284e+01,7.075385597265466259e-03,3.512164096386722473e-02,2.191477201057127067e-01
2.680000000000000071e+01,6.712754384270075425e-03,3.521763294220669333e-02,2.186109623610704988e-01
2.690000000000000213e+01,6.324780521916865961e-03,3.528575785189409786e-02,2.178979046509625095e-01
